letter of the alphabet	ï»¿aabaa
police-officer	qorreeda torobbee
combatant officer	qorreeda waraansisaa
petty officer	qorreeda xinnaa
to become an officer	qorreedomuu
refrigerator	qorrisiiftuu
refrigeration	qorrisiisa
to refrigerate	qorrisiisuu
comet	qorsa
flash like lightning	qorsa calaqqisaa
polio	qorsoo
clippers	qortuu1
investigator	qortuu2
judgement	qorumsa
to cut one's nails	qoruu1
to examine	qoruu2
straw basket used for the storage of ornaments and precious items	qorxii
matriculation	qorxumuraa
defensive channel	qotaa
line of defence	qotaa ittisaa
excavation	qotammii
sedentary farmer	qotataa waaraa
farmer	qotataa
peasant	qoteebulaa
excavation	qotii
ploughed field	qotiisa
dry land farming	qotiisa bonaa
shift cultivation	qotiisa dabaree
intensive cultivation	qotiisa finiinsaa
co-operative farm	qotiisa gamtaa
state farm	qotiisa mootummaa
mixed farming	qotiisa walmakaa
collective farm	qotiisa waltii
viticulture	qotiisa zabiibaa
oxen for ploughing	qotiyyoo
audit	qotoo
hatchet	qottoo
farmer	qottuu
to plough	qotuu
mob	qoxee
to research	qu'achuu
research	qu'annoo
study	qu'ata
researcher	qu'ataa
finger	quba
thumb	quba aggichoo
ring finger	quba amartii
to be out of contact with somebody	quba dhabuu
forefinger	quba elemaa
middle finger	quba guddaa
mouse pointer	quba hantuutee
finger	quba harkaa
toe	quba miilaa
to have ideas or news	quba qabaachuu
to be godfather	quba qabuu
little finger	quba xinnaa
fingerless	quba-maleessa
to settle	qubachuu
settling	qubannaa
settlement	qubannoo
suburban estate	qubannoo moggaa magaalaaa
clustered settlement	qubannoo tuujjii
landing	qubata
airport	qubata balali'aa
international airport	qubata balali'aa addunyaalessaa
to point finger at	qubatti qabuu
location	qubattoo
plant kingdom	qubattoo biqilaa
animal kingdom	qubattoo neefkaa
settler	qubattuu
bay	qubbaara
altar	qubbii
precious finger-ring	qubee
Arabic alphabet	qubee Arabaa
Ge'ez alphabet	qubee Gi'iizii
capital letter	qubee guddoo
to capitalise	qubee guddoon barreessuu
earring	qubee gurraa
Roman alphabet	qubee Laatinii
double letters	qubee mirree
Oromo alphabet	qubee Oromoo
single letter	qubee qeentee
phonetic alphabet	qubee qoonqessii
International Phonetic Alphabet	qubee qoonqessii addunyaalessaa
letter T	qubee T
to alphabetise	qubee taruu
small letter	qubee xinnoo
ring	qubeellaa
silver ring	qubeellaa meetii
a ring worn on the right hand by an Oromo warrior after killing an enemy or a wild game like lion	qubeellaa mirgaa
golden ring	qubeellaa sabbuu
ring worn by the highest gadaa-officials and by the qaalluu	qubeellaa sagayaa
O-ring	qubeellaa-O
spelling	qubeessa
to spell	qubeessuu
italics	quberkataa
digraph	qublamee
two digits	qubo-lamee
three digits	qubo-sadee
one digit	qubo-tokkee
digit	quboo
trigraph	qubsadee
pentadactyl	qubshanee
victims	qucaatii
institution or person that approves something	quddhaa
approval	quddhama
approved	quddhamaa
to approve	quddhuu
one who coughs continuously	qufa'aa
to cough	qufa'uu
disease that causes to cough	qufaasisaa
sacrament	quftollaa
sacred	quftoo
saint	quftoolee
garlic	qullubbii
garlic	qullubbii adii
onion	qullubbii diimaa
janitor	qulquleessaa
purification	qulqulleessa
to clean	qulqulleessuu
saint	qulqullicha
cleanness	qulqullina
community hygiene	qulqullina naannoo
personal hygiene	qulqullina ofii
food hygiene	qulqullina soorataa
unsanitary	qulqullina-dhabeessa
saints	qulqulloota
innocence	qulqullummaa
clean	qulqulluu
cacao	qumbaa
myrrh	qumbii
blow-fly	qumbursaa
spore	qummee
retardation	qummuna
mental retardation	qummuna sammuu
retardant	qummunaa
retarder	qummunsaa
to grow too slowly	qummunuu
bark of trees	quncee
wood pulp	quncee kessaa
the inner skin of a tree	quncekeessoo
the outer skin of a tree	quncerroo
peeling	quncifannaa
peeling machine for onion	qunciftuu
to peel	quncisuu
bud	quncuca
to bud	quncucuu
wart	quncurraa
black pepper	qundabarbaree
spirits	qunduftii
contact man	qunnamaa
link	qunnamsiisa
linkage	qunnamsiisoo
contact	qunnamtii
language contact	qunnamtii afaanii
flight connection	qunnamtii balali'aa
social contact	qunnamtii gamtaa
radio communication	qunnamtii raadiyoo
association of ideas	qunnamtii yaadaa
to contact	qunnamuu
penis	qunxurroo
germination	quqummaada
to germinate	quqummaaduu
cornflakes	quqummee
potato chip	quqummee shaayee
oval	quqummii
pure iron	quraata
punishment	qurbeessa
one who punishes	qurbeessaa
to punish	qurbeessuu
leprous	qurcaawaa
to be infected with leprosy	qurcaawuu
leper	qurcii
leprosy	qurcummaa
small stones	qurqura
squint-eyed	qurree
cloves	qurunfudii
whale	qurxumbojaa
fishmonger	qurxummi-gurgurtuu
fishing	qurxummi-guurinsa
fisherman	qurxummi-guurtuu
piscivorous	qurxummi-nyaattuu
fish	qurxummii
sea-fish	qurxummii garbaa
to fish	qurxummii guuruu
starfish	qurxummii urjee
to economise	qusachuu
savings	qusannoo
government savings	qusannoo mootummaa
thrifty person	qusataa
spared	qusatamaa
to deteriorate	quucaruu
satiety	quufa
a satisfied person	quufaa
satiety	quufina
to be full	quufuu
obstruction	quuqa
hernia	quuqoo
grudge	quuqqaa
pebble	quuqqoo
hunch-backed	quuruu
underdeveloped	quusaraa
to be underdeveloped	quusaraawuu
factor that causes underdevelopment	quusareessaa
underdevelopment	quusartii
underdeveloped	quusartuu
trypanosomiasis	quwwaarsaa
to smear one's face or body with butter	quyyifachuu
ointment	quyyifata
oil	quyyisa
castor oil	quyyisa qobboo
distribution	raabsa
frequency distribution	raabsa deddeebitii
electronic arrangement	raabsa elektiroonaa
age distribution	raabsa umurii
distributor	raabsituu
newspaper distributor	raabsituu gaazexaa
distributor of goods	raabsituu meeshaa
distributor of fertilisers	raabsituu xaa'omsaa
to distribute	raabsuu
frog	raacha
yeast	raacitii
young female calf	raada
wireless	raadiyoo
shaking	raafama
shakeable	raafamaa
machine for turning mild into butter	raaftuu
cabbage	raafuu
wisdom	raaga
social philosopher	raagaa gamtaa
social scientist	raagaa hawaasaa
philosopher	raagaa
story	raagoo
philosophy	raagumsa
social philosophy	raagumsa gamtaa
moral philosophy	raagumsa hamilee
Marxist philosophy	raagumsa maarkisii
philosophy of history	raagumsa seenaa
natural philosophy	raagumsa uumamaa
to explain the source of knowledge	raaguu
prophet	raajaa
exclamatory	raajeffata
exclamation mark	raajeffateessa
miracle	raajii1
X-ray	raajii2
prophecy	raajumsa
eating too much	raama
maggot	raammee
worm	raammoo
bookworm	raammoo barroo
earthworm	raammoo biyyee
woodworm	raammoo folkaa
heliminth	raammoo garaa
silkworm	raammoo haarrii
tape-worm	raammoo heexoo
intestinal worm	raammoo mar'imaanii
common name for grain-eating worms	raammoo midhaanii
liver fluke	raammoo tiruu
round worm	raammoo ulee
to spray	raamsuu
one who eats too much	raamtuu
to eat too much	raamuu
puddle	raaree
bat	raarree
tableland	raarro
to shake	raasuu
extremely foolish	raata'aa
stupidity	raatummaa
moron	raatuu
implementation	raawwachiisa
terminating	raawwannoo
closing	raawwata
army	raayyaa
private soldier	raayyaa dassiiba
paratrooper	raayyaa qilleensaa
national army	raayyaa sabaa
people's militia	raayyaa uummataa
revolutionary army	raayyaa warraaqsaa
B.A.	rabako
curriculum vitae	rabannoo
B.S.	rabasa
same as Waaqa	Rabbi
radar	radaara
marasmus	radduu
sleeping pill	raffisiisaa
dormancy	raftii
alibi	raga-qabeessa
evidence	ragaa
medical certificate	ragaa coraa
birth certificate	ragaa dhalootaa
testimony	ragaa dhugaa
diachronic data	ragaa durii
marriage certificate	ragaa gaayilaa
eyewitness	ragaa ijaa
legal testimony	ragaa seeraa
expert-witness	ragaa sirnayaa
dancing-master	ragachiisaa
a kind of dance in which the neck and the chest are shaken	ragada
modern dance	ragada ammayyaa
folk-dance	ragada daadaa
dancer	ragadaa
to dance	ragaduu
inscribed angle	ragattii marfattoo
ratification	raggaafama
confirmation	raggaasa
approval	raggaasoo
to approve	raggaasuu
reference	raggoo
spleen	rajiijii
appendicitis	rajoo
to be in difficulty	rakkachuu
poor	rakkataa
difficulty	rakkina
difficult	rakkisaa
to trouble	rakkisuu
difficulty	rakkoo
language problem	rakkoo afaanii
social problem	rakkoo hawaasaa
assignor	ramadaa
Ramadan	ramadaana
assignment	ramadama
job-assignment	ramadama hojii
taxonomy	ramadammee
classification	ramaddii
typological classification	ramaddii akaakuu
geographical classification	ramaddii barmodachee
unit of measurement	ramaddii bikkooma
genealogical classification	ramaddii hortee
artificial classification	ramaddii namnuumee
natural classification	ramaddii uumaa
to assign	ramaduu
chairperson	ramsaa
slope	randa
convex slope	randa goolloo
allegory	rannee
fallen leaf or foliage	raphrapphee
carcass	raqa
suspending	rarraasa
swing	rarraassoo
to hang	rarraasuu
kind of bee which lives in rocks	rasaa
bullet	rasaasa
gulf	rawwaa
Gulf of Eden	rawwaa Adan
shelter gulf	rawwaa dawoo
Persian Gulf	rawwaa Faarisaa
Gulf of Guinea	rawwaa Giinii
Gulf of Mexico	rawwaa Meeksikoo
advantageous	raya-qabeessa
advantage	rayaa
goat	re'ee
dead body	reeffa
pall-bearer	reeffa-baattuu
reggae	reegee
edible	reencii
tar	reenjii
Renault	reenoo
a cluster of homesteads or camps	reera
cluster of languages	reera afaanii
cluster of villages	reera gandaa
cluster of homesteads	reera manneenii
archipelago	reera odoolaa
star cluster	reera urjii
set	reerree
ratio	reeshoo
transmission ratio	reeshoo daddabarsaa
mixing ratio	reeshoo makkii
same as jamuriyaa	republika
hartebeest	ribboo
tendon	ribuu
bowstring	ribuu gooboo
vocal cord	ribuu sagalee
dried tendon for xamboo	ribuu xamboo
to scare	rifachiisuu
shock	rifannoo
hair	rifeensa
moustache	rifeensa afarroo
hair of the beard	rifeensa areedaa
hair of the armpit	rifeensa bobaa
hair on the lower lip	rifeensa butumee
eye lashes	rifeensa ijaa
curls-hair	rifeensa marmaramaa
hair	rifeensa mataa
barber	rifeensa murtuu
hair on human body	rifeensa nafaa
eyebrows	rifeensa nyaaraa
hair on the chest	rifeensa qomaa
hairless	rifeensa-dhablee
hairy	rifeensawaa
to become hairy	rifeensawuu
cilia	rifeensee
same as taphachiisaa	rifeerii
wig	rifesobee
friction	rigdoo
rolling friction	rigdoo konkolaatii
brass filings	rigdoo sibiilaa
sliding friction	rigdoo sigiggee
kinetic friction	rigdoo sochoo
impenetrable	riima
place with thick bush	riima lafaa
ladder	rikkaa
a small wooden ladder	rikkee
same as ergayabboo	rikomaandee
record	rikordii
world record	rikordii addunyaa
African record	rikordii Afrikaa
pregnant	rimaa
fetus	rimaaya
fertilisation	rimeessa
external fertilisation	rimeessa aloo
internal fertilisation	rimeessa keessoo
self-fertilisation	rimeessa ofinee
conservative	rincicaa
conservatism	rincicummaa
hiding	ripha
ambush	riphaa
guerrilla war	riphaan lola
to wage a guerrilla war	riphaan loluu
urban guerrilla	riphee lolaa magaalaa
guerrilla fighter	riphee lolaa
hibernation	riphiinsa
latency	riphina
latent	riphoo
to lie in wait	riphuu
same as gabaasa	rippoortii
granary	riqa
bridge	riqicha
swing-bridge	riqicha banamtuu
a traditional wooden bridge	riqicha mukaa
suspension bridge	riqicha rarraatuu
modern bridge i.e. made of iron	riqicha sibiilaa
natural bridge	riqicha ummaa
to climb	riquu
termite	rirma
eagle	risaa
bald eagle	risaa walloo
robot	robootara
hem of clothes	roga
exterior angle	roga aloo
exterior angle of a circle	roga aloo geengoo
exterior angle of a quadrangle	roga aloo rogafree
exterior angle of a polygon	roga aloo rogdanee
leaf-axil	roga baalaa
shaping	roga baasa
to form	roga baasuu
position angle	roga bakkaa
obtuse angle	roga baldhaa
structure section	roga caasaa
critical angle	roga daangessaa
straight angle	roga diriiraa
opposite angle	roga fuullee
angle of elevation	roga gararrallaa
central angle	roga handhuuraa
complementary angle	roga iddobuutuu
central angle	roga jidduu
alternate interior angles	roga keessan-cinaachaa
interior angles	roga keessoo
river profile	roga lagaa
spherical angle	roga mulullee
critical angle	roga murteessaa
acute angle	roga muxxee
angle of friction	roga rigtoo
polar angle	roga waaggee
shapeless	roga-dhablee
T-square	roga-T
quadrangle	rogafree
alternate exterior angles	rogalaan-cinaachaa
vertically opposite angles	rogawwan waliin-duubaa
contour	rogayyaa
rectangular	rogdalgee
polygon	rogdanee
concave polygon	rogdanee golboo
edge of a mountain	roggee
lava ridge	roggee humbuluqaa
mountain-ridge	roggee tulluu
congruent angles	roggitaa
inselberg	roggoo
hexagon	rogjayee
decagon	rogkurnee
adjacent angles	rogollaa
octahedron	rogsaddeetee
triangle	rogsadee
spherical triangle	rogsadee mulullee
acute triangle	rogsadee muxxee
90 degree	rogsadee sagaltama
nonagon	rogsalgee
pentagon	rogshanee
right angle	rogsuduudee
right angle triangle	rogsuduudee rogsadee
thalweg	rogsululaa
heptagon	rogtorbee
same as furguggaatuu	rokeeta
convulsion	rom'isiisa
to shiver or tremble	rom'uu
rain	rooba
frontal rain	rooba addaa
rain with hail	rooba cabbii
acid rain	rooba dhangaggee
thunder storm	rooba hangaasuu
relief rainfall	rooba olaanolii
annual rainfall	rooba waggaa
cyclonic rainfall	rooba yandoo
rainy	roobaa
ringworm	roobbii
hippopotamus	roobii1
same as Dasee	Roobii2
to rain	roobuu
pendulum	roodita
simple pendulum	roodita salphaa
narcotic	roojoo
street child	rooree
one who harasses	roorrisaa
to harass	roorrisuu
harassment	roorroo
decay	roqaa
gallon	rubaa
iron ball	rubmoo
water-tap	ruggaa
cadet	rugirreessa
assault	rukaala
density	rukkina
optical density	rukkina agartii
energy density	rukkina giidoo
vapour density	rukkina hurkaa
atmospheric density	rukkina qilmarsaa
relative density	rukkina sadhaatawaa
beating	rukuttaa
corner-kick	rukuttaa golee
rhythm	rukuttaa manaa
one who attacks somebody	rukuttuu
to beat	rukutuu
rum	rum
constituent	ruqoo
active component	ruqoo qaruutii
baking soda	rushii
dark green	russii
bundle	ruubana
a bundle of flower	ruubana ilillii
sky	ruuda
a black	ruufoo
recruitment	ruuga
a police recruit	ruuga torobbee
vulture	ruumicha
insert	ruuqaa
especial wood which is put under hot ashes in order to keep the fire for a longer time	ruuqaa ibiddaa
pot-belly	ruurrii
dusty earth	ruussoo
rice	ruuzii
cow	sa'a
productive cow	sa'a hortoo
1) watch	sa'aatii
atomic clock	sa'aatii atoomawaa
period	sa'aatii barannoo
overtime	sa'aatii dabraa
wristwatch	sa'aatii harkaa
watch	sa'aatii kiishaa
kilowatt-hour	sa'aatii kilowaatii
womb	saaba
headrest	saaboo
one who flatters someone	saadduu
flattery	saadoo
to flatter	saaduu
to become noon	saafa'uu
midday	saafaa
afternoon	saafaa booda (s.b.)
forenoon	saafaa dura (s.d.)
zonal noon	saafaa godinaa
puberty	saafila
reinforcement	saaga
roofing slats	saagaa
reinforced	saagamaa
one who reinforces	saagduu
to reinforce	saaguu
sahel	saahel
saxophone	saaksifoonii
oryx	saalaa
teenager	saalifa
exploited	saamamaa
robbery	saamicha
exploitation	saammannoo
exploiter	saammataa
web	saammee
plunderer	saamtuu
same as andarqii	saamunaa
to plunder	saamuu
sorting dish	saanaddee
dish	saanii
dishwasher	saanii dhiqxuu
platter	saanii diriiraa
bowl	saanii golboo
round plate	saanii korboo
gold plate	saanii sabbuu
dish made of metal	saanii sibiilaa
porcelain	saanii suphadii
same as bodee	saanjaa
1) cent	saantima
algae	saaphuyyee
brown algae	saaphuyyee magaala
green algae	saaphuyyee magariisa
food web	saaphuyyee soorataa
cash	saaqa
posture	saaqata
Saturn	Saatarnii
to sheathe	saattessuu
sheath	saattoo
sheath for a knife	saattoo billaa
sheath for a dagger	saattoo cuubee
plasma sheath	saattoo dhiigbishoo
to expose	saaxil-baasuu
exposure	saaxileessa
to expose	saaxiluu
light bush	saaxoo
scientific	saayinsaawaa
science	saayinsii
pure science	saayinsii culkii
social science	saayinsii gamtaa
applied science	saayinsii hojjatii
science of measurement	saayinsii madaallii
library science	saayinsii manbarroo
natural science	saayinsii uummaa
scientist	saayinsiyyoo
cow	saayya
nation	saba
masses	saba baldhaa
oppressed nation	saba miidhamaa
national	sabaa
membrane	sabaga
basement membrane	sabaga hundee
cell membrane	sabaga miciree
unit membrane	sabaga takkee
nuclear membrane	sabaga wiirtuu
dove	sabaliisa
golden	sabbaawaa
a long belt or girdle made of cotton cloth	sabbata
rainbow	sabbata Waaqayyoo
primary rainbow	sabbata Waaqayyoo jalqabbee
minority	sabbicoo
majority	sabbojaa
patriot	sabboona
patriotism	sabboonummaa
containing gold	sabbu-qabeessa
gold-digger	sabbu-qottuu
gold-smith	sabbu-tumtuu
gold	sabbuu
pure gold	sabbuu culkii
multinational	sabdanee
nationality	sabee
ethnic	sablammii
nationalist	sabootee
a country of three nations or national groups	sabsadee
a country of a single nation	sabtokkee
nationalism	sabummaa
November	Sadaasa
same as mukee	sadafii
triangle	sadakkuu
triplet	sadanee
level	sadarkaa
degree of freedom	sadarkaa birmadummaa
superlative	sadarkaa caalmaa
level of consciousness	sadarkaa dammaqiinsa
level of political consciousness	sadarkaa dammaqiinsa taliigaa
filtration step	sadarkaa dhimbiibbaa
degree of relationship	sadarkaa firoommii
living standard	sadarkaa jireenyaa
stage of development	sadarkaa misoomaa
upgrading	sadarkaa olkaasa
to upgrade	sadarkaa olkaasuu
stage of civilisation	sadarkaa qaroomaa
step by step	sadarkaa sadarkaan
conventional level	sadarkaa seera abboomuu
food standards	sadarkaa soorataa
revolutionary stage	sadarkaa warraaqsaa
experimental stage	sadarkaa yaalii
gradually	sadarkaan
a game played with stones in twelve holes on a board	saddeeqa
boiling cheep	saddeeqa damfinaa
keyboard	saddeeqa qubee
keyboard and mouse	saddeeqa qubee fi hantuutee
conspirator	sadduu
triple	sadee
third steeping of coffee	sadeessoo
relativity	sadhaata
relative	sadhaatawaa
relativism	sadhaatummaa
trio	sadiyyee
conspiracy	sadoo
to conspire	saduu
safari	safaarii
speed	saffisa
wind speed	saffisa bubbee
speed of sound	saffisa sagalee
moral	safuu
adulterer	sagaagaltuu
adultery	sagaagalummaa
to commit adultery	sagaagaluu
fornicator	sagaggalaa
fornication	sagaggaltii
to fornicate	sagaggaluu
voiceless	sagale-maleessa
voice	sagalee
imitative word	sagalee akkeessaa
a sweet voice	sagalee bareedaa
watchword	sagalee dabarsaa
drum-beat	sagalee dibbee
word	sagalee dubbii
vote	sagalee filannoo
a deep voice	sagalee furdaa
soundproof	sagalee hin-dabarsinee
a hoarse voice	sagalee hororsaa
important message	sagalee jabaa
a shrill voice	sagalee qaldhaa
unanimously	sagalee tokkoon
monotone	sagalee tokkooyyee
plebiscite	sagalee uummataa
singing-voice	sagalee weedduu
pronunciation	sagaleeffama
to be unanimous	sagaleen tokko tawuu
unanimity	sagaleen tokko tayiinsa
loudspeaker	sagaleessituu
programme	sagantaa
economic programme	sagantaa dinagdee
economic stabilisation programme	sagantaa dinagdee fooyyessaa
election programme	sagantaa filmaataa
social programme	sagantaa gamtaa
party programme	sagantaa garee
working schedule	sagantaa hojii
manufacturing programme	sagantaa horannoo
school schedule	sagantaa mana barumsaa
political programme	sagantaa taliigaa
revolutionary programme	sagantaa warraaqsaa
development programme	sagantaaa misoomaa
programmed	saganteeffammaa
programmer	saganteessaa
programming	saganteessii
to programme	saganteessuu
copper	sagaya
nape	saggoo
unit squad	saglii
social unit	saglii gamtaa
unit of society	saglii hawaasaa
military unit	saglii waraanaa
family unit	saglii warraa
Sahara	Sahaaraa
search	sakatta'a
a police ransacking	sakatta'a torobbee
one who ransacks	sakatta'aa
ransack	sakatta'uu
ethic	sakkoo
stillborn	sal'eessa
Muslim praying	salaata
lettuce	salaaxaa
tanned hide	salala
sandals	salalaa
aluminium	saldaqa
aluminium bronze	saldaqa sagayaa
to aluminise	saldaquu
jury	salgan
executive committee of the ruling gadaa council	salgan yaa'ii Booranaa
jury	salganee
sesame	saliixa
abortion	salleessaa
to have miscarriage	salleessuu
easiness	salphina
to make light	salphisuu
taste	samba
pampas grass	sambaleexa
spaceman	sambalii
Saturday	Sambata
to taste	sambuu
stupid	sammu-dhabeessa
brainwashing	sammu-dhiqiisa
to brainwash	sammu-dhiquu
intelligence	sammu-qabeenya
intelligent	sammu-qabeessa
memory	sammuttii qabannaa
fontanel	sammuu
insane	sammuun tuqamuu
mustard plant or seed	sanaafica
salt bar used for cattle	sanaagaa
halite	sanaagoo
same as gongee	sanduuqa
antenna	sanfila
directional antenna	sanfila faallee
horn antenna	sanfila gaanfee
fishbone antenna	sanfila laccee
antenna of a radio	sanfila raadiyoo
antenna of a television	sanfila tiibii
ox	sangaa
a stallion which is trained for horse race	sangaa fardaa
hermaphrodite	sangaa-raada
castrate	sangoomsuu
mirage	sankulee
empty beehive	sanqallee
uncovered part of a saddle placed on the back of a horse	sanqallii
terrace	sanqii
personality	sansakkaa
dual personality	sansakkaa garlamee
same as qomeetii	santariyyaa
ethnography	sanyaaba
racist	sanyaalessa
racism	sanyaalummaa
seed	sanyii
super genus	sanyii bantiyyee
animal kingdom	sanyii bineensaa
plant kingdom	sanyii biqiltuu
foundation seed	sanyii bu'uraa
extinct species	sanyii cichaa
genesis	sanyii dhalootaa
breeder seed	sanyii filatamaa
enclosed seed	sanyii golgamee
naked seed	sanyii hin-golgaminee
human race	sanyii namaa
rare species	sanyii takkaataa
endemic species	sanyii takkaayyee
species hybridisation	sanyii we'elaa
oil seeds	sanyii zayitii
species	sanyillaa
gene	sanyundee
pond-weed	saphaphuu
pubic hair	saphii
spider's web	saphuphaa
lichen on trees	saphupphee
commemoration of a deceased person	saqadada
to give commemorative banquet for a dead person	saqadada baasuu
balcony	saraaraa
wagon	saragallaa
vagabond	saragee
line	sarara
telephone line	sarara bilbiltoo
broken line	sarara caccabaa
lateral line	sarara cinoo
closed line	sarara cufaa
borderline	sarara daangaa
oblique line	sarara dalgii
horizontal line	sarara dalgoo
poverty line	sarara deegummaa
line segment	sarara dhaabataa
vertical line	sarara dhaabboo
pipeline	sarara faaggee
shadow line	sarara gaaddisaa
line of forces	sarara giidotaa
meridian	sarara guyyaa addunyaa
base line	sarara jalqabaa
diagonal line	sarara labbaa
number line	sarara lakkoofsaa
coastal line	sarara moggagarbaa
transversal line	sarara qaxxaamuraa
straight line	sarara sirrii
intersecting line	sarara walqaxxaamuraa
line of center	sarara waltajjii
parallel lines	sarara waltarree
dotted lines	sarara xoxxobbee
imaginary line	sarara yaaddii
drawing	sararree
embellishment	sarartii
ruler	sarartoo
folding ruler	sarartoo dachaatuu
horizontal line	sarartoo dalgoo
vibrating ruler	sarartoo hollattuu
slide ruler	sarartoo lootuu
to embellish	sararuu
calf	sarbaa
confiscation	sarbama
confiscated	sarbamaa
pulley	sarbii
one who confiscates	sarbituu
to confiscate	sarbuu
fox	sardiidaa
sardine	sardiina
dog	saree
bloodhound	saree suuftuu
police dog	saree torobbee
asparagus	sariitii
consent	sarma
willing	sarmaa
to agree	sarmuu
prediction	sarroo
satellite	sataliita
space station	sataliita duwwaanaa
artificial satellites	sataliita namnuumee
communication satellite	sataliita qunnamtii
giraffe	sattawwaa
Saudi Arabia	Sawuddii Arabiyaa
sister-in-law	sayyuu
qualification	seeca'a
qualifier	seeca'aa
to qualify	seeca'uu
taboo	seeda
to trade	seedachuu
trade	seedannoo
local trade	seedannoo biyya keessaa
foreign trade	seedannoo biyyalaa
world trade	seedannoo biyyalafaa
black market	seedannoo dhoksaa
fine arts trade	seedannoo faayataa
free trade	seedannoo gaddhiisii
day trading	seedannoo guyyaa
municipal trading	seedannoo magaalaa
fine art dealer	seedataa faayataa
day trader	seedataa guyyaa
street vendor	seedataa karraarraa
fishmonger	seedataa qurxummii
trader	seedataa
trader	seedataan-bulaa
commercialisation	seedatoomsa
saw	seegaa
back saw	seegaa cimaa
circular saw	seegaa geengoo
two-handed saw	seegaa harkalamee
logging saw	seegaa jirmaa
compass-saw	seegaa marfamaa
hand saw	seegaa mukaa
hack saw	seegaa sibiilaa
complication	seelkata
defect	seelkee
gap	seelkoo
a tooth from which a piece is chipped	seelkoo ilkaanii
Semite	Seemii
floor	seemmallaa
sea floor	seemmallaa garbaa
bottom part of a granary	seemmoo
shoe lace	seemsa
Semitism	seemummaa
pre-history	seena-dursoo
historic	seena-qabeessa
history	seenaa
oral tradition	seenaa afaanii
African history	seenaa Afrikaa
modern history	seenaa ammayyaa
world history	seenaa biyyalafaa
glorious history	seenaa boonsisaa
geological history	seenaa cindachee
art-history	seenaa faayataa
social history	seenaa gamtaa
ethnohistory	seenaa gosaa
oral history	seenaa himamsaa
medieval history	seenaa jiddoo
life history	seenaa jireenyaa
chronicles	seenaa mootii
Oromo history	seenaa Oromoo
national history	seenaa sabaa
philology	seenafaanii
penetrable	seenamaa
historian	seenessaa
to narrate	seenessuu
biography	seenjiree
admittance	seennaa
autobiography	seenofii
introduction	seensa
entrance	seentii
main entrance	seentii guddaa
plunger	seentuu
historicism	seenummaa
to enter	seenuu
penknife	seenxii
law	seera
customary laws	seera aadaa
penal law	seera adabbii
game law	seera adamoo
international law	seera addunyaalessa
federal law	seera atoomaa
lawmaker	seera baasaa
punctuation	seera barreeffamaa
curriculum	seera barumsaa
constitution	seera biyyaa
law of supply and demand	seera dhiyeessii fi gaafannoo
general law	seera dimshaashaa
prosecutor	seera eegduu
attorney general	seera eegduu olaanaa
electoral law	seera filmaataa
gadaa-law	seera gadaa
maritime law	seera galaanaa
law of gravitation	seera harkisoo
grammatical rule	seera hirmaata-dubbii
employment law	seera hojii
law of acceleration	seera hurrisaa
rule of thumb	seera irree
irregular	seera keessaa ba'aa
motoring law	seera konkolaachisii
law of conservation of energy	seera kuusaa giidoo
radiation law	seera madanaa
universal law	seera marlaalaa
universal law of gravitation	seera marlaalaa harkisoo
Mendel's Laws	seera Mendel
Mose's law	seera Musee
justice	seera qajeelaa
phonetic law	seera qoonqessii
commercial law	seera seedannoo
law of motion	seera sochii
Newton's Law of Motion	Seera Sochii kan Niwutan
bill	seera tumaa
act	seera tumamaa
legislator	seera tumtuu
to legislate	seera tumuu
natural law	seera uumamaa
laws of God	seera Waaqaa
law of averages	seera walakkeessaa
Law of mass Conservation	seera walgita hangaa
martial law	seera waraanaa
factory law	seera warshaa
criminal law	seera yakkii
to warn	seerachuu
grammar	seerafaanii
decree	seerama
civil law	seerambaa
lawfully	seeran
illegal	seeran ala
defined by law	seeran beekamaa
legal heir	seeran dhaaltuu
embargo	seeran dhoowwii
determined by law	seeran murteeffamaa
warning	seerata
a person who warns somebody	seerataa
lawless	seerdhablee
lawlessness	seerdhablummaa
judge	seeressaa
grammar	seerluga
illegal	seermaleessa
illegality	seermalummaa
irregularity	seermiliqxummaa
irregular	seermiliqxuu
legalisation	seeroma
legalised	seeromaa
to legalise	seeromsuu
lawful	seerqabeessa
lawfulness	seerqabessummaa
golden rule	seertolaa
legality	seerummaa
charter	seerundee
to decree	seeruu
presumption	seetoo
determination	seexaa
second	sekondii
secretary	sekreetarii
big rain clouds	selama
same as kuyeba	semestara
same as barattoo	seminaara
centigrade	sentigreedii
centimetre	sentimeetira
drinking water for a journey	sha'oo
chess	shaa
same as maxxallaa	shaabbaa
brass wire	shaabbee
barbed wire	shaabbee qoree
telegraph-wire	shaabbee telegraamaa
practice	shaakala
practician	shaakalaa
to practice	shaakaluu
a small basket made of bamboo	shaalii
litterbin	shaalii baraaxii
bright	shaallee
swan	shaaloo
same as dungoo	shaamaa
shampoo	shaamboo
medicinal shampoo	shaamboo qorichaa
champion	shaampiyoona
world champion	shaampiyoona addunyaa
African champion	shaampiyoona Afrikaa
Oromian champion	shaampiyoona Oromiyaa
championship	shaampiyoonummaa
lance	shaanfoo
coffee snack	shaarfaa
same as shuushee	shaarmuxaa
same as seerundee	shaartara
muslin worn over the head by women	shaashii
wedding-veil	shaashii idaayyaa
albinism	shaashoma
albino	shaashoo
desk	shaata
actor	shaatoo
